l_orderkey|l_partkey|l_suppkey|l_linenumber|l_quantity|l_extendedprice|l_discount|l_tax|l_returnflag|l_linestatus|l_shipdate|l_commitdate|l_receiptdate|l_shipinstruct|l_shipmode|l_comment
1|53|4|1|217|17954.55|0.04|0.02|N|O|1996-03-13|1995-03-17|1995-03-20|DELIVER IN PERSON|AIR|egular courts above the|
1|68|9|2|36|34850.16|0.09|0.06|N|O|1996-04-12|1996-02-28|1996-04-20|TAKE BACK RETURN|MAIL|ly final dependencies: slyly bold |
1|64|5|3|8|7712.48|0.10|0.02|N|O|1996-01-29|1996-03-05|1996-01-31|TAKE BACK RETURN|REG AIR|riously. regular, express dep|
1|3|6|4|28|25284.00|0.09|0.06|N|O|1996-04-21|1996-03-30|1996-05-16|NONE|AIR|lites. fluffily even de|
1|25|8|5|24|22200.48|0.10|0.04|N|O|1996-03-30|1996-03-14|1996-04-01|NONE|FOB| pending foxes. slyly re|
1|16|3|6|32|29312.32|0.07|0.02|N|O|1995-01-30|1995-02-07|1995-02-03|DELIVER IN PERSON|MAIL|arefully slyly ex|
2|107|2|1|38|38269.80|0.00|0.05|N|O|1997-01-28|1997-01-14|1997-02-02|TAKE BACK RETURN|RAIL|ven requests. deposits breach a|
3|5|2|1|14|40725.00|0.06|0.00|R|F|1994-02-02|1994-02-23|1994-01-04|NONE|AIR|ongside of the furiously brave acco|
3|20|10|2|9|45080.98|0.10|0.00|R|F|1995-09-09|1995-09-24|1995-09-20|DELIVER IN PERSON|AIR| unusual accounts. eve|
3|129|8|3|27|27786.24|0.06|0.07|A|F|1994-01-16|1993-11-22|1994-01-23|DELIVER IN PERSON|SHIP|nal foxes wake. |
3|30|5|4|2|1860.06|0.01|0.06|A|F|1993-12-04|1994-01-08|1994-01-07|NONE|TRUCK|y. fluffily pending d|
3|184|5|5|28|30357.04|0.04|0.00|R|F|1993-12-14|1994-01-11|1994-01-10|TAKE BACK RETURN|FOB|ages nag slyly pending|
3|63|8|6|26|25039.56|0.10|0.02|A|F|1993-10-29|1993-12-18|1993-12-20|TAKE BACK RETURN|RAIL|ges sleep after the caref|
4|89|10|1|30|29672.40|0.03|0.08|N|O|1996-01-10|1995-12-14|1996-01-18|DELIVER IN PERSON|REG AIR|- quickly regular packages sleep. idly|
31|5|2|1|14|40725.00|0.06|0.00|R|F|1994-02-02|1994-01-04|1994-02-23|NONE|MAIL|ongside of the furiously brave acco|
65|2|5|3|21|18942.00|0.09|0.07|N|O|1995-07-06|1995-05-14|1995-07-31|DELIVER IN PERSON|RAIL|bove the even packages. accounts nag carefu|
66|116|10|1|31|31499.41|0.00|0.08|R|F|1994-02-19|1994-03-11|1994-02-20|TAKE BACK RETURN|RAIL|ut the unusual accounts sleep at the bo|
66|174|5|2|41|44040.97|0.04|0.07|A|F|1994-02-21|1994-03-01|1994-03-18|COLLECT COD|MAIL| regular de|
67|22|5|1|4|3688.08|0.09|0.04|N|O|1995-05-17|1995-09-31|1995-09-20|NONE|SHIP| cajole thinly expres|
67|21|10|2|12|11052.24|0.09|0.05|N|O|1995-09-27|1995-09-21|1995-09-22|NONE|REG AIR| even packages cajole|
67|174|4|3|5|5370.85|0.03|0.07|N|O|1997-02-20|1997-02-12|1997-02-21|DELIVER IN PERSON|TRUCK|y unusual packages thrash pinto |
67|88|9|4|44|43475.52|0.08|0.06|N|O|1997-03-18|1997-01-29|1997-04-13|DELIVER IN PERSON|RAIL|se quickly above the even, express reques|
1282|30|9|2|10|9300.30|0.09|0.06|R|F|1992-04-10|1992-04-16|1992-05-01|DELIVER IN PERSON|SHIP|r theodolite|
1282|160|1|3|19|20143.04|0.01|0.03|R|F|1992-05-07|1992-04-07|1992-05-13|NONE|RAIL|ts x-ray across the furi|
1282|59|10|4|19|18221.95|0.00|0.05|A|F|1992-06-20|1992-04-17|1992-07-05|DELIVER IN PERSON|REG AIR|nto beans. carefully close theodo|
1283|93|7|1|47|46675.23|0.05|0.03|N|O|1996-10-21|1996-10-29|1996-11-12|DELIVER IN PERSON|TRUCK|even instructions boost slyly blithely |
1283|106|1|2|1|1006.10|0.00|0.08|N|O|1996-10-07|1996-10-12|1996-10-08|NONE|RAIL|d the sauternes. slyly ev|
1284|19|1|2|1|1006.10|0.00|0.08|N|O|1996-10-07|1996-10-12|1996-10-08|NONE|RAIL|d the sauternes. slyly ev|
1284|19|1|2|100|1006.10|0.00|0.08|N|O|1996-10-07|1996-10-12|1996-10-08|NONE|RAIL|d the sauternes. slyly ev|
